#GRB 	Redshift 	T90 	log (M*/M☉) 	SFR 	log (Z/Z☉) 	SSFR 	AV
#		[s] 		[M☉ yr^-1] 		[Gyr^-1] 	
GRB 150413 	3.1390 	120.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 141121 	1.4690 	549.90 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 140606B 	0.3843 	22.78 	 -1.0  	0.06 	 -1.0  	 -1.0  	 -1.0 
GRB 140506 	0.8891 	111.10 	9.00 	1.00 	 -1.0  	1.00 	 -1.0 
GRB 140226 	1.9733 	15.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 130925 	0.3470 	179.00 	9.50 	3.30 	0.10 	 -1.0  	1.60
GRB 130831 	0.4791 	32.50 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 130702 	0.1450 	59.00 	7.90 	0.05 	 -1.0 0.50 	 -1.0  	0.00
GRB 130606 	5.9134 	277.00 	 -1.0  	 -1.0  	 -1.0 1.10 	 -1.0  	 -1.0 
GRB 130603B 	0.3568 	0.18 	9.80 	4.80 	 -1.0 0.25 	 -1.0  	1.17
GRB 130528 	1.2500 	59.40 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 130427 	0.3399 	162.83 	9.32 	0.90 	 -1.0 0.20 	 -1.0  	0.05
GRB 130215 	0.5970 	65.70 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 130131B 	2.5390 	4.30 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 121024 	2.2979 	69.00 	9.90 	42.00 	 -1.0 0.70 	 -1.0  	0.00
GRB 120815 	2.3586 	9.70 	 -1.0  	 -1.0  	 -1.0 1.15 	 -1.0  	 -1.0 
GRB 120729 	0.8000 	71.50 	8.30 	6.00 	 -1.0  	30.00 	 -1.0 
GRB 120624B 	2.1974 	271.00 	10.60 	23.00 	 -1.0  	 -1.0  	1.00
XRF 120422 	0.2826 	5.35 	8.95 	0.40 	 -1.0 0.40 	 -1.0  	 -1.0 
GRB 120327 	2.8145 	62.90 	 -1.0  	 -1.0  	 -1.0 1.20 	 -1.0  	 -1.0 
GRB 120119 	1.7280 	70.00 	9.30 	200.00 	 -1.0  	100.00 	 -1.0 
GRB 120118B 	2.9430 	23.26 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 111209 	0.6770 	999.00 	 -1.0  	 -1.0  	 -1.0 0.39 	 -1.0  	 -1.0 
GRB 111123 	3.1516 	290.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 111008 	4.9907 	63.46 	 -1.0  	 -1.0  	 -1.0 1.70 	 -1.0  	 -1.0 
GRB 111005 	0.0133 	26.00 	9.68 	0.16 	 -1.0  	 -1.0  	 -1.0 
GRB 110918 	0.9840 	 -1.0  	10.68 	11.00 	0.24 	 -1.0  	1.80
GRB 110213 	1.4600 	48.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 110205 	2.2200 	248.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 110106B 	0.6180 	24.80 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 101225 	0.8470 	999.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 101219 	0.7180 	0.60 	9.15 	16.00 	 -1.0  	 -1.0  	 -1.0 
GRB 101219B 	0.5519 	34.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 100816 	0.8049 	1.99 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 100814 	1.4400 	174.50 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 100728 	1.5670 	198.50 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 100625 	0.4520 	0.33 	9.66 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 100621 	0.5420 	63.60 	8.98 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 100615 	1.3980 	39.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 100424 	2.4650 	104.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 100418 	0.6239 	7.00 	9.28 	1.90 	 -1.0 0.14 	 -1.0  	 -1.0 
GRB 100414 	1.3680 	26.40 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
XRF 100316D 	0.0591 	999.99 	8.93 	0.14 	 -1.0 0.39 	 -1.0  	 -1.0 
GRB 100219 	4.6672 	18.80 	 -1.0  	 -1.0  	 -1.0 0.95 	 -1.0  	 -1.0 
GRB 100206 	0.4068 	0.20 	10.70 	30.00 	0.51 	 -1.0  	 -1.0 
GRB 100117 	0.9150 	0.30 	10.16 	0.14 	 -1.0  	0.01 	 -1.0 
GRB 091127 	0.4903 	7.10 	8.60 	0.22 	 -1.0 0.29 	0.55 	 -1.0 
GRB 091024 	1.0924 	999.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090927 	1.3700 	2.20 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090926 	2.1062 	20.00 	 -1.0  	 -1.0  	 -1.0 2.18 	 -1.0  	 -1.0 
GRB 090926B 	1.2400 	109.70 	10.10 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090902B 	1.8229 	21.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090814 	0.6940 	80.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090812 	2.4521 	36.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090618 	0.5420 	113.20 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090529 	2.6240 	100.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090519 	3.8500 	64.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090516 	4.1110 	210.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090510 	0.9030 	0.30 	9.90 	0.30 	 -1.0  	0.04 	 -1.0 
